"version=1"
""
"Sys category id"	"Name"
"-1"	"Outros"
"0"	"Jogos"
"1"	"Música e áudio"
"2"	"Filmes e vídeos"
"3"	"Fotos e imagens"
"4"	"Social e comunicação"
"5"	"Notícias e revistas"
"6"	"Mapas e navegação"
"7"	"Produtividade"
""
"App"	"Package"	"Category"	"User-defined"
"Background Eraser"	"com.handycloset.android.eraser"	"Fotos e imagens"	"0"
"Figurinhas Personalizadas para WhatsApp"	"com.dstukalov.walocalstoragestickers"	"Social e comunicação"	"0"
"Bitmoji"	"com.bitstrips.imoji"	"Outros"	"0"
"1010!"	"com.gramgames.tenten"	"Jogos"	"0"
"Brawl Stars"	"com.supercell.brawlstars"	"Jogos"	"1"
"Moovit"	"com.tranzmate"	"Mapas e navegação"	"0"
"Google Play Livros"	"com.google.android.apps.books"	"Produtividade"	"0"
"Gartic"	"com.gartic.Gartic"	"Jogos"	"1"
"Burger King"	"burgerking.com.br.appandroid"	"Outros"	"0"
"Pocket"	"com.ideashower.readitlater.pro"	"Notícias e revistas"	"0"
"Authenticator"	"com.azure.authenticator"	"Produtividade"	"0"
"War"	"br.com.grow.war"	"Jogos"	"0"
"Cronómetro de Intervalos"	"cc.dreamspark.intervaltimer"	"Outros"	"0"
"Méqui"	"com.mcdo.mcdonalds"	"Outros"	"0"
"Empire Warriors TD"	"com.zitga.empire.warriors.td"	"Jogos"	"0"
""	"android.instant_app"	"Outros"	"0"
"Teclado SwiftKey"	"com.touchtype.swiftkey"	"Produtividade"	"0"
"Sugestões de configurações"	"com.android.settings.intelligence"	"Outros"	"0"
"Facebook Services"	"com.facebook.services"	"Outros"	"0"
"ASUS Data Transfer"	"com.futuredial.asusdatatransfer"	"Produtividade"	"0"
"LinkedIn"	"com.linkedin.android"	"Produtividade"	"0"
"Noise"	"com.relax.whitenoise.sleep"	"Outros"	"0"
"PicsArt"	"com.picsart.studio"	"Fotos e imagens"	"0"
"Adicione texto"	"com.nand.addtext"	"Fotos e imagens"	"0"
"Trade"	"com.denke.easynvest"	"Produtividade"	"0"
"Contatos"	"com.google.android.contacts"	"Social e comunicação"	"0"
"Total Party Kill"	"com.adventureislands.totalpartykill"	"Jogos"	"0"
"Authenticator"	"com.google.android.apps.authenticator2"	"Produtividade"	"0"
"Walk Master"	"fi.twomenandadog.walkmaster"	"Jogos"	"0"
"Dropbox"	"com.dropbox.android"	"Produtividade"	"0"
"iFood para Entregadores"	"br.com.ifood.driver.app"	"Produtividade"	"0"
"Element"	"im.vector.app"	"Social e comunicação"	"0"
"BitLife"	"com.candywriter.bitlife"	"Jogos"	"0"
